Bus Number,Type,V,D,P,Q
1,Slack,1.06,0.0,2.325929180503512,-0.15233108930320327
2,Generator,1.045,-0.08707657009053546,0.18300000001431305,0.3522759069362209
3,Generator,1.01,-0.2225156517389644,-0.9419999999570781,0.08758418767081722
4,Load,1.0131941232744475,-0.17875604485076835,-0.4780000001572305,0.039000000037076266
5,Load,1.0165745808940752,-0.15289229127376114,-0.07599999990232009,-0.015999999967989176
6,Generator,1.07,-0.2521462508163643,-0.11199999989130394,0.15526088063975152
7,Load,1.0456991390526789,-0.23102604933246806,-1.2089268475179438e-10,5.187789753335892e-09
8,Generator,1.08,-0.23102604933246806,0.0,0.21030331746703634
9,Load,1.0305249954129332,-0.25865993179775193,-0.2949999999754891,-0.16599999981749658
10,Load,1.029917935363466,-0.2624283267228332,-0.08999999984042484,-0.05800000002112782
11,Load,1.046131112788854,-0.2593222779970476,-0.034999999883713606,-0.018000000033602248
12,Load,1.0532595554116413,-0.2669879813194664,-0.06099999999769734,-0.016000000002022396
13,Load,1.0466363998320007,-0.26758151798491636,-0.13499999997148526,-0.05800000000956862
14,Load,1.019271859097636,-0.28050471982714453,-0.1489999998460716,-0.05000000004469474
